,Product Name,Prices,Description,Review
0,"Whirlpool 7 kg Magic Clean 5 Star Semi Automatic Top Load Washing Machine Black, Grey","₹10,240",1400 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty and 5 Years Warranty on Wash Motor,4.3
1,"Whirlpool 7.5 kg Magic Clean 5 Star Semi Automatic Top Load Washing Machine Black, Grey","₹11,490",1400 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty and 5 Years Warranty on Wash Motor,4.3
2,LG 9 kg Fully Automatic Front Load Washing Machine with In-built Heater Black,"₹38,990",1400 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor,4.4
3,LG 11 kg Fully Automatic Front Load Washing Machine with In-built Heater Black,"₹49,990",1400 rpm Max Speed5 Star Rating1 Year Warranty on Product and 10 Years Warranty on Motor,4.1
4,"IFB 9 kg 5 Star AI Powered Eco Inverter with Wifi Oxyjet 9 Swirl Wash, 4 Years Comprehensive Warrant F...","₹45,990","1400 rpm Max Speed5 Star Rating4 Years Comprehensive Warranty on Product, 10 Years Warranty on Motor and 10 Years Spares Support",4.4
5,"BOSCH 9 kg 1400RPM, Anti Wrinkle, i-DOS system and EcoSilence Drive motor Fully Automatic Front Load W...","₹45,990","1400 RPM Max Speed5 Star Rating2 years on product, 10 years on motor",4.4
6,"IFB 10 kg 5 Star AI Powered Eco Inverter with Wifi Oxyjet 9 Swirl Wash, 4 Years Comprehensive Warranty...","₹50,390","1400 rpm Max Speed5 Star Rating4 Years Comprehensive Warranty on Product, 10 Years Warranty on Motor and 10 Years Spares Support",4.4
7,realme TechLife 7 kg 5 Star Power Clean Fully Automatic Front Load Washing Machine with In-built Heate...,"₹20,990",1400 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor from realme TechLife,4.1
8,SAMSUNG 7 kg Fully Automatic Front Load Washing Machine with In-built Heater Black,"₹37,500","1200 rpm Max Speed5 Star RatingFor all Fully Automatic Washing Machines with Digital Inverter Motors, sold on or after 1st Dec 2022 (All Fully Automatic Front Load Washing Machine and Top Load Washing Machine) the Warranty period on the Digital Inverter Motor shall be revised from 10 years to 20 years and Comprehensive Product Warranty shall be revised from 3 years to 2 years.",3.8
9,SAMSUNG 8 kg Fully Automatic Front Load Washing Machine with In-built Heater Black,"₹39,900","1400 rpm Max Speed5 Star RatingFor all Fully Automatic Washing Machines with Digital Inverter Motors, sold on or after 1st Dec 2022 (All Fully Automatic Front Load Washing Machine and Top Load Washing Machine) the Warranty period on the Digital Inverter Motor shall be revised from 10 years to 20 years and Comprehensive Product Warranty shall be revised from 3 years to 2 years.",4.5
10,Motorola 10.5 kg 5 Star Smart Wi-Fi Enabled Inverter Technology Fully Automatic Front Load with In-bui...,"₹27,990",1400 rpm Max Speed5 Star Rating2 Years Comprehensive and 10 Years on Motor From Motorola,4.1
11,realme TechLife 7 kg 5 Star Power Clean Fully Automatic Front Load Washing Machine with In-built Heate...,"₹21,490",1400 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor from realme TechLife,4.1
